timestamp,plant,line,shift,product_family,cycle_time_sec,cavity,efficiency_pct,downtime_rate,scrap_rate,units_per_hour,effective_units_per_hour,good_units_per_hour,material_cost_per_unit,labor_cost_per_hour,energy_cost_per_hour,overhead_cost_per_hour,total_cost_per_hour,cost_per_unit,cost_per_good_unit,scrap_cost_per_unit_proxy
2025-09-22 12:16:00,PL02,LINE_D,C,STANDARD,35.24,2,0.8229,0.1314,0.0375,168.13,146.03,140.55,2.34,53.35,24.99,18.79,97.12,3.009,3.035,0.088
2025-09-22 14:59:00,PL01,LINE_C,B,STANDARD,21.01,1,0.9386,0.25,0.0748,160.83,120.62,111.59,2.1,54.64,19.33,21.57,95.54,2.889,2.953,0.157
2025-09-22 16:24:00,PL01,LINE_D,B,HEAVY,60.04,1,0.9261,0.2014,0.0917,55.53,44.34,40.27,4.29,56.74,21.39,22.08,100.2,6.547,6.776,0.393
2025-09-22 16:29:00,PL01,LINE_A,B,STANDARD,46.54,1,0.8632,0.25,0.1152,66.77,50.08,44.31,2.9,55.39,15.24,18.82,89.44,4.681,4.914,0.334
2025-09-22 19:10:00,PL02,LINE_C,A,STANDARD,33.02,2,0.8887,0.119,0.0522,193.8,170.73,161.82,2.42,52.4,22.8,20.0,95.21,2.983,3.013,0.127
2025-09-22 19:51:00,PL01,LINE_D,A,STANDARD,30.31,4,0.8852,0.2449,0.0872,420.61,317.59,289.9,1.34,54.84,19.6,18.68,93.12,1.635,1.663,0.117
2025-09-22 20:36:00,PL01,LINE_B,C,PREMIUM,47.08,1,0.8341,0.0812,0.0789,63.77,58.6,53.97,3.55,59.27,11.74,31.26,102.27,5.291,5.44,0.28
2025-09-22 21:23:00,PL02,LINE_B,B,PREMIUM,77.36,1,0.8839,0.25,0.149,41.13,30.85,26.25,2.51,52.03,11.26,25.91,89.2,5.403,5.909,0.374
2025-09-22 21:42:00,PL01,LINE_A,B,STANDARD,44.08,1,0.8463,0.1557,0.0419,69.11,58.35,55.91,2.6,57.14,20.93,25.67,103.74,4.382,4.46,0.109
2025-09-22 22:17:00,PL02,LINE_B,B,STANDARD,39.75,1,0.9137,0.1952,0.0605,82.75,66.6,62.57,2.04,52.34,18.32,22.17,92.83,3.43,3.52,0.123
2025-09-22 23:31:00,PL01,LINE_B,A,HEAVY,45.18,1,0.9037,0.1103,0.0621,72.0,64.06,60.08,5.34,54.03,16.09,31.59,101.7,6.927,7.032,0.332
2025-09-22 23:50:00,PL02,LINE_D,A,STANDARD,44.05,1,0.7495,0.1161,0.0688,61.26,54.14,50.42,2.6,47.59,16.54,16.26,80.39,4.088,4.198,0.179
2025-09-23 00:23:00,PL02,LINE_C,C,STANDARD,36.27,2,0.7836,0.0981,0.0502,155.54,140.28,133.23,2.67,54.46,14.56,27.59,96.61,3.363,3.4,0.134
2025-09-23 00:27:00,PL01,LINE_C,A,PREMIUM,51.43,1,0.8299,0.25,0.0366,58.09,43.57,41.97,2.66,56.08,21.7,28.43,106.21,5.095,5.188,0.097
2025-09-23 02:05:00,PL01,LINE_A,C,STANDARD,29.1,1,0.8207,0.098,0.1013,101.53,91.58,82.3,2.7,59.98,12.96,32.8,105.74,3.852,3.982,0.273
2025-09-23 02:35:00,PL01,LINE_A,B,HEAVY,55.64,1,0.8107,0.0401,0.0136,52.46,50.36,49.67,5.07,55.05,22.4,20.34,97.79,7.012,7.039,0.069
2025-09-23 02:36:00,PL03,LINE_C,B,STANDARD,31.4,1,0.9155,0.1971,0.0427,104.95,84.27,80.67,2.35,47.15,19.23,19.97,86.35,3.376,3.422,0.1
2025-09-23 03:38:00,PL01,LINE_A,C,STANDARD,35.7,1,0.8452,0.0564,0.1293,85.24,80.43,70.03,1.98,57.07,21.96,26.4,105.42,3.294,3.489,0.256
2025-09-23 03:51:00,PL03,LINE_A,A,STANDARD,21.77,2,0.8348,0.0983,0.0715,276.05,248.9,231.11,2.09,46.23,19.1,17.37,82.7,2.417,2.443,0.149
2025-09-23 04:46:00,PL01,LINE_D,C,STANDARD,44.81,1,0.9182,0.0912,0.15,73.78,67.05,56.99,2.1,59.03,25.2,27.97,112.2,3.769,4.064,0.314
2025-09-23 05:04:00,PL03,LINE_A,C,HEAVY,61.43,2,0.9403,0.1534,0.0739,110.22,93.31,86.41,5.51,47.77,25.32,21.72,94.81,6.529,6.61,0.407
2025-09-23 05:13:00,PL03,LINE_C,B,STANDARD,34.36,2,0.9298,0.1438,0.15,194.82,166.8,141.78,2.57,42.11,19.34,23.74,85.2,3.077,3.167,0.385
2025-09-23 05:33:00,PL02,LINE_B,C,STANDARD,21.74,4,0.7863,0.25,0.0872,520.91,390.68,356.62,2.49,54.1,18.31,20.58,92.98,2.729,2.752,0.217
2025-09-23 06:01:00,PL03,LINE_B,C,STANDARD,29.5,1,0.9005,0.25,0.15,109.89,82.41,70.05,2.4,52.18,19.1,23.0,94.29,3.54,3.742,0.359
2025-09-23 07:04:00,PL03,LINE_D,C,STANDARD,55.91,2,0.7505,0.25,0.1221,96.65,72.48,63.64,2.13,48.36,16.7,20.51,85.57,3.308,3.472,0.26
2025-09-23 07:50:00,PL01,LINE_B,C,STANDARD,31.24,1,0.8473,0.1387,0.033,97.65,84.1,81.33,1.79,57.67,16.61,25.57,99.85,2.975,3.015,0.059
2025-09-23 09:08:00,PL01,LINE_A,C,PREMIUM,47.82,1,0.7867,0.1159,0.15,59.23,52.36,44.51,3.62,59.85,16.61,13.09,89.54,5.333,5.635,0.544
2025-09-23 09:39:00,PL01,LINE_A,C,STANDARD,52.74,1,0.872,0.0703,0.0631,59.52,55.33,51.84,2.67,55.12,17.35,16.69,89.16,4.28,4.389,0.168
2025-09-23 10:18:00,PL01,LINE_D,B,STANDARD,30.68,1,0.8595,0.1217,0.15,100.86,88.58,75.3,2.19,55.41,13.04,27.67,96.12,3.279,3.471,0.329
2025-09-23 13:45:00,PL03,LINE_A,C,STANDARD,43.51,4,0.8643,0.25,0.0316,286.06,214.54,207.76,2.12,49.02,17.94,30.96,97.92,2.58,2.595,0.067
2025-09-23 13:55:00,PL01,LINE_C,C,PREMIUM,51.14,4,0.88,0.0922,0.0516,247.77,224.93,213.32,2.43,63.07,14.7,28.51,106.29,2.905,2.931,0.126
2025-09-23 14:01:00,PL02,LINE_A,A,STANDARD,37.69,2,0.8509,0.1208,0.0171,162.54,142.9,140.45,2.13,49.22,17.33,25.82,92.37,2.781,2.792,0.037
2025-09-23 15:03:00,PL02,LINE_A,C,HEAVY,93.36,2,0.8151,0.1611,0.1254,62.86,52.74,46.12,4.8,53.48,19.24,26.96,99.68,6.692,6.963,0.602
2025-09-23 15:27:00,PL03,LINE_B,A,STANDARD,59.8,2,0.8744,0.1284,0.0216,105.29,91.77,89.79,2.33,41.68,18.62,19.64,79.95,3.205,3.224,0.05
2025-09-23 15:33:00,PL01,LINE_B,B,HEAVY,65.92,1,0.8718,0.25,0.0099,47.61,35.71,35.35,5.18,54.52,19.19,22.62,96.33,7.876,7.903,0.051
2025-09-23 15:56:00,PL03,LINE_C,A,PREMIUM,33.15,4,0.8413,0.25,0.0324,365.41,274.06,265.17,3.95,47.62,17.33,15.3,80.25,4.246,4.255,0.128
2025-09-23 16:10:00,PL02,LINE_C,B,STANDARD,28.59,2,0.8123,0.2454,0.0261,204.55,154.35,150.32,2.36,49.16,18.7,20.11,87.97,2.931,2.946,0.062
2025-09-23 16:38:00,PL03,LINE_C,C,STANDARD,35.07,1,0.8165,0.25,0.0664,83.81,62.85,58.68,2.63,53.5,16.89,20.96,91.35,4.082,4.185,0.175
2025-09-23 16:52:00,PL01,LINE_A,B,STANDARD,37.05,1,0.8227,0.042,0.1388,79.94,76.58,65.95,2.22,55.07,19.97,25.99,101.04,3.535,3.748,0.308
2025-09-23 17:11:00,PL02,LINE_C,C,PREMIUM,40.16,2,0.8432,0.0956,0.0881,151.17,136.72,124.68,3.25,50.5,20.21,25.33,96.03,3.951,4.019,0.286
2025-09-23 17:28:00,PL01,LINE_B,C,STANDARD,23.65,1,0.8191,0.1731,0.1358,124.68,103.1,89.1,1.93,57.48,10.14,25.35,92.97,2.829,2.971,0.262
2025-09-23 19:11:00,PL02,LINE_D,A,STANDARD,61.37,1,0.8107,0.2054,0.15,47.56,37.79,32.12,2.62,55.01,17.56,22.42,94.98,5.134,5.578,0.393
2025-09-23 19:16:00,PL03,LINE_C,A,HEAVY,47.87,2,0.8723,0.0325,0.1451,131.18,126.92,108.5,6.41,47.22,26.61,25.24,99.08,7.189,7.321,0.93
2025-09-23 20:03:00,PL01,LINE_A,B,STANDARD,46.77,2,0.8733,0.1796,0.0518,134.44,110.3,104.59,2.46,53.35,17.11,17.86,88.32,3.258,3.302,0.127
2025-09-23 20:52:00,PL01,LINE_C,A,STANDARD,31.97,1,0.9268,0.25,0.0962,104.36,78.27,70.74,1.84,54.36,23.79,29.19,107.34,3.215,3.361,0.177
2025-09-23 21:29:00,PL03,LINE_A,B,PREMIUM,50.79,1,0.8258,0.1476,0.0631,58.54,49.9,46.75,4.07,46.81,13.18,13.76,73.75,5.547,5.647,0.257
2025-09-23 21:44:00,PL01,LINE_C,C,PREMIUM,47.74,1,0.8535,0.0633,0.15,64.37,60.29,51.25,3.86,55.6,13.97,16.3,85.88,5.283,5.534,0.579
2025-09-23 21:58:00,PL02,LINE_A,A,STANDARD,41.38,1,0.7808,0.1157,0.15,67.93,60.07,51.06,2.0,48.94,11.61,19.14,79.69,3.322,3.556,0.299
2025-09-23 22:02:00,PL02,LINE_C,A,HEAVY,58.48,1,0.7943,0.25,0.15,48.9,36.68,31.17,4.96,52.21,29.76,16.6,98.58,7.648,8.122,0.744
2025-09-23 23:02:00,PL01,LINE_A,C,PREMIUM,26.65,4,0.841,0.079,0.026,454.47,418.57,407.67,3.22,59.07,18.37,24.4,101.84,3.464,3.47,0.084
2025-09-23 23:06:00,PL02,LINE_A,C,PREMIUM,53.62,1,0.8951,0.1209,0.0757,60.1,52.83,48.83,3.39,54.37,20.36,21.19,95.91,5.208,5.356,0.257
2025-09-23 23:11:00,PL01,LINE_C,A,HEAVY,54.86,1,0.98,0.2373,0.1123,64.31,49.05,43.54,4.26,57.32,26.47,17.14,100.93,6.315,6.575,0.478
2025-09-23 23:24:00,PL01,LINE_A,B,HEAVY,73.62,2,0.98,0.1029,0.0628,95.84,85.98,80.58,4.99,56.63,19.96,21.91,98.51,6.133,6.209,0.313
2025-09-24 00:20:00,PL01,LINE_C,B,STANDARD,34.59,4,0.8325,0.2247,0.1083,346.59,268.73,239.61,2.63,56.3,12.18,14.6,83.08,2.938,2.976,0.285
2025-09-24 01:31:00,PL01,LINE_B,A,PREMIUM,60.03,2,0.7882,0.1955,0.15,94.53,76.05,64.64,3.49,53.99,15.88,21.64,91.51,4.69,4.902,0.523
2025-09-24 01:59:00,PL01,LINE_A,A,PREMIUM,53.36,2,0.7686,0.0797,0.1062,103.72,95.46,85.32,2.52,57.72,14.72,23.96,96.4,3.531,3.651,0.268
2025-09-24 01:59:00,PL02,LINE_A,C,HEAVY,95.73,2,0.8131,0.1941,0.066,61.15,49.28,46.03,3.77,55.94,25.83,26.3,108.07,5.961,6.116,0.249
2025-09-24 02:00:00,PL01,LINE_A,B,STANDARD,31.32,1,0.7898,0.1829,0.15,90.77,74.17,63.04,1.68,52.56,19.63,19.01,91.2,2.913,3.13,0.253
2025-09-24 02:59:00,PL01,LINE_D,B,PREMIUM,68.7,1,0.8891,0.2047,0.1245,46.59,37.05,32.44,2.69,55.61,20.36,27.08,103.05,5.476,5.871,0.335
2025-09-24 03:02:00,PL02,LINE_C,A,PREMIUM,41.62,1,0.902,0.2415,0.15,78.03,59.18,50.31,3.83,50.96,15.76,25.02,91.73,5.384,5.658,0.575
2025-09-24 03:18:00,PL01,LINE_B,B,HEAVY,63.33,1,0.8619,0.25,0.0645,48.99,36.74,34.37,4.37,59.28,21.65,15.21,96.14,6.991,7.171,0.282
2025-09-24 04:22:00,PL03,LINE_B,A,HEAVY,75.22,1,0.8387,0.25,0.1261,40.14,30.11,26.31,4.98,44.32,23.79,24.48,92.58,8.051,8.494,0.628
2025-09-24 04:25:00,PL02,LINE_C,C,HEAVY,42.42,2,0.8213,0.1274,0.1262,139.41,121.65,106.29,6.0,51.43,17.89,25.8,95.13,6.782,6.894,0.757
2025-09-24 05:18:00,PL02,LINE_C,C,STANDARD,38.22,1,0.8133,0.1032,0.0941,76.61,68.7,62.24,2.33,52.38,16.69,21.14,90.21,3.64,3.776,0.219
2025-09-24 05:27:00,PL02,LINE_C,A,HEAVY,46.85,1,0.8541,0.112,0.15,65.63,58.28,49.54,7.04,51.48,22.65,22.5,96.63,8.702,8.995,1.057
2025-09-24 05:44:00,PL01,LINE_A,C,STANDARD,44.44,1,0.9373,0.25,0.15,75.92,56.94,48.4,2.14,54.64,17.7,13.61,85.94,3.648,3.914,0.321
2025-09-24 07:17:00,PL03,LINE_C,A,HEAVY,67.05,1,0.8628,0.144,0.15,46.32,39.65,33.7,5.65,45.36,29.57,17.23,92.15,7.977,8.387,0.848
2025-09-24 09:26:00,PL01,LINE_B,A,PREMIUM,56.03,1,0.98,0.1142,0.1476,62.96,55.78,47.54,3.34,56.29,15.5,23.94,95.73,5.06,5.358,0.494
2025-09-24 09:29:00,PL02,LINE_C,C,PREMIUM,34.3,1,0.9442,0.25,0.15,99.1,74.32,63.17,2.58,52.6,17.34,32.16,102.1,3.958,4.201,0.388
2025-09-24 09:59:00,PL02,LINE_B,A,PREMIUM,34.99,2,0.9133,0.2089,0.0781,187.94,148.68,137.07,3.1,52.41,14.11,28.28,94.8,3.741,3.795,0.242
2025-09-24 10:12:00,PL01,LINE_C,B,STANDARD,51.82,1,0.7774,0.1192,0.032,54.01,47.57,46.05,1.98,58.68,16.93,20.16,95.77,3.988,4.055,0.063
2025-09-24 10:22:00,PL02,LINE_B,C,STANDARD,24.45,2,0.7509,0.2292,0.0635,221.08,170.41,159.58,2.03,53.29,17.04,26.22,96.55,2.596,2.634,0.129
2025-09-24 10:28:00,PL02,LINE_A,A,PREMIUM,37.17,4,0.7991,0.0684,0.15,309.57,288.39,245.13,3.4,49.02,17.04,21.64,87.7,3.709,3.762,0.511
2025-09-24 10:38:00,PL01,LINE_C,B,PREMIUM,37.3,1,0.8947,0.0512,0.0839,86.35,81.92,75.05,3.33,55.92,19.44,27.21,102.57,4.586,4.701,0.28
2025-09-24 11:04:00,PL01,LINE_B,A,STANDARD,29.72,1,0.8211,0.0663,0.15,99.45,92.85,78.93,1.93,53.8,20.68,16.85,91.34,2.917,3.09,0.29
2025-09-24 11:15:00,PL01,LINE_B,A,PREMIUM,39.12,1,0.9336,0.0723,0.15,85.92,79.71,67.75,3.39,55.24,17.94,13.26,86.44,4.479,4.67,0.509
2025-09-24 11:41:00,PL02,LINE_A,B,PREMIUM,60.81,1,0.9609,0.1174,0.1148,56.89,50.21,44.45,2.89,53.13,14.61,25.41,93.16,4.745,4.986,0.332
2025-09-24 14:43:00,PL01,LINE_B,C,STANDARD,33.61,1,0.8733,0.25,0.0097,93.55,70.16,69.49,2.0,56.89,10.94,16.28,84.11,3.203,3.215,0.019
2025-09-24 14:43:00,PL02,LINE_C,A,PREMIUM,45.86,1,0.98,0.25,0.15,76.94,57.7,49.05,3.71,51.58,23.91,21.74,97.23,5.392,5.689,0.556
2025-09-24 14:48:00,PL01,LINE_C,C,PREMIUM,64.22,4,0.9146,0.1482,0.0488,205.09,174.69,166.17,3.19,58.53,20.63,17.76,96.92,3.747,3.775,0.156
2025-09-24 15:26:00,PL02,LINE_C,C,STANDARD,38.44,1,0.98,0.0833,0.0325,91.77,84.13,81.4,2.85,51.2,19.74,22.78,93.73,3.965,4.002,0.093
2025-09-24 15:45:00,PL02,LINE_A,C,STANDARD,41.46,2,0.98,0.0666,0.1051,170.17,158.83,142.14,1.8,51.0,24.63,24.93,100.56,2.435,2.509,0.189
2025-09-24 16:10:00,PL02,LINE_A,B,PREMIUM,45.72,4,0.905,0.0948,0.0489,285.04,258.03,245.41,3.68,52.18,16.66,15.97,84.81,4.008,4.024,0.18
2025-09-24 17:12:00,PL02,LINE_C,C,PREMIUM,41.05,1,0.8276,0.1486,0.1224,72.58,61.8,54.23,3.19,52.74,18.85,24.73,96.31,4.753,4.97,0.391
2025-09-24 17:35:00,PL01,LINE_C,A,STANDARD,44.62,2,0.8475,0.1566,0.1375,136.75,115.33,99.48,2.11,59.79,10.14,18.31,88.24,2.873,2.995,0.29
2025-09-24 17:59:00,PL02,LINE_C,A,PREMIUM,47.55,1,0.9516,0.2057,0.15,72.04,57.22,48.64,3.12,48.43,29.29,16.18,93.9,4.763,5.052,0.468
2025-09-24 18:01:00,PL01,LINE_C,B,STANDARD,30.02,1,0.8469,0.2208,0.0587,101.56,79.13,74.49,2.29,55.38,20.28,28.75,104.41,3.613,3.695,0.135
2025-09-24 18:13:00,PL02,LINE_B,C,STANDARD,54.7,2,0.9479,0.1116,0.0755,124.77,110.85,102.48,1.63,50.64,17.29,20.6,88.54,2.427,2.493,0.123
2025-09-24 19:47:00,PL02,LINE_A,B,STANDARD,40.81,1,0.8467,0.2243,0.0304,74.69,57.94,56.18,2.07,50.96,9.09,22.93,82.98,3.507,3.552,0.063
2025-09-24 19:54:00,PL02,LINE_A,B,STANDARD,37.76,2,0.7935,0.0731,0.0373,151.32,140.26,135.03,2.59,51.24,17.85,24.54,93.63,3.257,3.283,0.097
2025-09-24 22:01:00,PL02,LINE_D,C,STANDARD,38.26,1,0.7953,0.1941,0.0941,74.82,60.3,54.62,2.39,54.86,14.29,22.65,91.8,3.915,4.073,0.225
2025-09-24 22:28:00,PL01,LINE_A,C,STANDARD,53.58,1,0.8734,0.0371,0.0997,58.68,56.51,50.87,3.17,55.68,16.5,12.65,84.84,4.67,4.837,0.316
2025-09-24 22:39:00,PL02,LINE_B,B,STANDARD,18.9,2,0.8725,0.2254,0.0117,332.44,257.52,254.52,2.29,51.87,18.78,24.99,95.64,2.659,2.664,0.027
2025-09-24 22:39:00,PL02,LINE_B,A,PREMIUM,29.24,4,0.8714,0.25,0.0749,429.14,321.85,297.76,2.49,48.16,15.35,29.55,93.06,2.783,2.807,0.187
2025-09-24 23:15:00,PL02,LINE_C,A,STANDARD,44.87,1,0.8574,0.1632,0.0999,68.78,57.56,51.81,1.89,52.27,15.35,28.84,96.46,3.571,3.756,0.189
2025-09-24 23:16:00,PL02,LINE_A,C,STANDARD,38.57,2,0.9301,0.1467,0.0273,173.62,148.16,144.11,2.29,56.03,26.36,17.35,99.74,2.959,2.978,0.062
2025-09-24 23:28:00,PL02,LINE_C,B,STANDARD,36.53,1,0.9248,0.2497,0.1345,91.14,68.38,59.18,2.48,49.86,18.12,22.17,90.15,3.798,4.003,0.334
2025-09-24 23:41:00,PL03,LINE_B,C,HEAVY,47.41,2,0.8342,0.0622,0.0318,126.69,118.82,115.04,6.16,47.65,21.82,23.36,92.83,6.939,6.964,0.196
2025-09-25 01:07:00,PL02,LINE_D,B,STANDARD,47.94,2,0.8213,0.0431,0.1166,123.36,118.03,104.27,2.7,50.79,20.59,13.65,85.03,3.422,3.517,0.315
2025-09-25 02:09:00,PL01,LINE_D,A,STANDARD,39.86,4,0.8737,0.1894,0.089,315.68,255.9,233.12,2.33,57.97,21.85,25.69,105.52,2.745,2.786,0.208
2025-09-25 02:13:00,PL01,LINE_D,C,STANDARD,55.95,1,0.8129,0.1619,0.15,52.3,43.84,37.26,2.76,58.59,27.26,19.19,105.04,5.151,5.574,0.413
2025-09-25 02:36:00,PL01,LINE_C,B,STANDARD,35.22,1,0.8534,0.1727,0.1162,87.23,72.16,63.77,2.01,54.11,16.54,25.05,95.7,3.333,3.508,0.233
2025-09-25 03:05:00,PL03,LINE_C,C,STANDARD,34.72,2,0.9197,0.1276,0.123,190.74,166.39,145.92,1.92,50.15,11.39,15.0,76.54,2.384,2.449,0.237
2025-09-25 03:36:00,PL01,LINE_C,A,STANDARD,29.88,1,0.8478,0.1117,0.15,102.14,90.73,77.12,1.75,53.55,17.56,16.5,87.6,2.72,2.891,0.263
2025-09-25 04:13:00,PL03,LINE_B,C,HEAVY,40.87,1,0.8177,0.25,0.0908,72.03,54.02,49.11,5.46,49.43,17.88,21.9,89.22,7.113,7.278,0.496
2025-09-25 04:30:00,PL01,LINE_B,A,STANDARD,24.91,1,0.8137,0.0617,0.0743,117.6,110.34,102.15,2.38,56.84,20.55,18.62,96.0,3.253,3.323,0.177
2025-09-25 05:45:00,PL02,LINE_C,B,STANDARD,51.34,4,0.8495,0.1312,0.0942,238.25,206.98,187.48,2.15,51.42,28.92,23.54,103.88,2.656,2.709,0.203
2025-09-25 05:57:00,PL03,LINE_A,C,STANDARD,34.55,1,0.8316,0.0994,0.0811,86.64,78.02,71.7,2.29,50.29,23.25,18.98,92.52,3.473,3.578,0.185
2025-09-25 06:09:00,PL02,LINE_A,A,STANDARD,42.51,2,0.8578,0.1507,0.1194,145.3,123.4,108.67,2.01,49.92,15.08,16.14,81.14,2.671,2.76,0.24
2025-09-25 07:04:00,PL01,LINE_C,C,STANDARD,35.66,2,0.8799,0.1699,0.0441,177.67,147.48,140.97,2.09,59.35,22.93,20.13,102.41,2.782,2.814,0.092
2025-09-25 07:17:00,PL02,LINE_C,A,STANDARD,36.87,1,0.9072,0.0547,0.15,88.58,83.73,71.17,2.0,48.47,13.21,23.89,85.57,3.026,3.206,0.301
2025-09-25 07:47:00,PL03,LINE_D,B,STANDARD,46.51,4,0.8196,0.1195,0.1085,253.77,223.44,199.2,2.28,47.97,15.89,19.11,82.97,2.649,2.694,0.247
2025-09-25 07:53:00,PL01,LINE_C,C,STANDARD,35.53,2,0.8203,0.0458,0.1327,166.22,158.6,137.55,2.11,56.08,13.75,28.63,98.47,2.73,2.825,0.28
2025-09-25 08:29:00,PL01,LINE_A,C,HEAVY,60.93,1,0.8021,0.172,0.0883,47.39,39.24,35.78,5.56,56.9,21.5,21.05,99.44,8.096,8.341,0.491
2025-09-25 08:57:00,PL02,LINE_B,A,HEAVY,74.69,1,0.8574,0.1475,0.15,41.33,35.23,29.95,3.47,49.59,23.93,26.68,100.2,6.311,6.813,0.52
2025-09-25 09:34:00,PL03,LINE_C,B,STANDARD,40.03,1,0.8482,0.1667,0.0399,76.29,63.57,61.03,2.01,48.46,22.13,23.28,93.87,3.485,3.547,0.08
2025-09-25 09:54:00,PL02,LINE_C,B,STANDARD,33.49,1,0.8235,0.0681,0.1,88.53,82.5,74.25,2.19,50.83,24.91,11.66,87.39,3.245,3.363,0.219
2025-09-25 11:31:00,PL01,LINE_C,B,PREMIUM,40.0,4,0.9122,0.1525,0.1111,328.4,278.31,247.39,3.5,57.8,20.94,16.86,95.6,3.841,3.884,0.389
2025-09-25 11:52:00,PL03,LINE_A,B,STANDARD,32.11,1,0.7898,0.25,0.1066,88.53,66.4,59.32,2.52,47.95,19.7,8.75,76.4,3.666,3.803,0.268
2025-09-25 12:00:00,PL01,LINE_A,A,HEAVY,89.07,1,0.8141,0.0377,0.15,32.9,31.66,26.91,4.73,56.88,23.1,23.68,103.66,8.002,8.58,0.709
2025-09-25 12:27:00,PL01,LINE_A,B,PREMIUM,37.53,1,0.9047,0.0873,0.15,86.79,79.22,67.33,2.75,55.54,19.81,21.93,97.29,3.982,4.199,0.413
